pan	﻿entretien: underhåll
nyj	élargir: bredda; frige
sge	avanies fpl: förödmjukelse
mjn	destinée: livsöde
klz	marmot: unge
tbu	ainsi que: såväl som
tfp	revers: baksida; bakslag
unf	denier: denar
zuq	Son altesse sérénissime: Hans höghet
muo	se prosterner devant: buga sig till marken för; krypa för
mpo	voler itr: flyga, rusa
mvt	égard: hänsyn
osd	abject: föraktlig
xco	cap m: kurs
njb	forçat: galärslav
ujg	ramer: ro
tgi	sur-le-champ: på fläcken
jwv	proue: stäv
fas	fendre: klyva
wqn	nombril m: navel
vug	rouer de coups: klå upp
krv	contingent: oväsentlig; eventuell; värnplikt
zrm	reculer: rygga tillbaka
yez	procédé m: tillvägagångssätt
gov	se dédire: ta tillbaka det man sagt
mwr	friponnerie: tjuvaktighet
xko	se flatter que: vara övertygad om att
mbt	écorce f: bark
qam	arpent m: tunnland
ban	louable: lovvärd
rup	dessein m: plan
jpn	broder: brodera
lzi	linge m: linne, tvätt
gjm	menuisier: finsnickare
